hai है
chakkara चक्कर
saagara सागर
presa प्रेस
sajaya संजय
arjuna अर्जुन
biga बिग
pahaada पहाड़
naayaka नायक
kaimaraa कैमरा
kshana क्षण
jaala जाल
kholane खोलने
pahana पहन
sayoga संयोग
lautane लौटने
kisakaa किसका
thada ठंड
hathiyaaro हथियारों
badara बंदर
baithate बैठते
maseeha मसीह
sayatra संयंत्र
chhipaane छिपाने
cheetee चींटी
jahaajo जहाजों
uthaao उठाओ
beda बेड़े
deviyo देवियों
karogee करोगी
bhedayo भेड़ियों
staarka स्टार्क
tarasa टॉरंस
brooksa ब्रूक्स
rahatee रहती
bolaa बोला
svatatrataa स्वतंत्रता
baavajooda बावजूद
aavashyaka आवश्यक
pratishata प्रतिशत
prabhaava प्रभाव
aara आर
taiyaaree तैयारी
lagate लगते
nyaaya न्याय
jeetaa जीता
janaaba जनाब
dukhee दुखी
anumaana अनुमान
svarga स्वर्ग
keejiye कीजिये
dauda दौड़
shukra शुक्र
topee टोपी
paayalata पायलट
anyathaa अन्यथा
sipaahee सिपाही
kahaaniyo कहानियों
kyoo क्यूं
eemaanadaaree ईमानदारी
anubadha अनुबंध
perisa पेरिस
lagaao लगाओ
pustakaalaya पुस्तकालय
badatara बदतर
paagalapana पागलपन
kisase किससे
baaee बाईं
philipa फिलिप
maadee मादी
bhaarateeya भारतीय
jala जल
jaati जाति
hajaara हजार
dharatee धरती
prakriti प्रकृति
vikasita विकसित
kaarravaaee कार्रवाई
drishti दृष्टि
peedata पीड़ित
garmee गर्मी
sunate सुनते
geda गेंद
kuttaa कुत्ता
radda रद्द
ullekha उल्लेख
giraa गिरा
vyaapaaree व्यापारी
shora शोर
kaatane काटने
chhutakaaraa छुटकारा
shivira शिविर
blaika ब्लैक
laaisesa लाइसेंस
bhejane भेजने
ghato घंटों
thadaa ठंडा
pahane पहने
jaahira जाहिर
gaa गा
bahaanaa बहाना
devida डेविड
kisake किसके
phrecha फ्रेंच
telara टेलर
peetara पीटर
drapa ड्रॉप
rudra रुद्र
krischiyana क्रिस्चियन
viktara विक्टर
moro मोरो
rabee रॉबी
artha अर्थ
usako उसको
sadasya सदस्य
maarga मार्ग
bachapana बचपन
karegee करेगी
kalaa कला
kitaaba किताब
yogya योग्य
bhalaa भला
jimmedaaree जिम्मेदारी
praacheena प्राचीन
naaraaja नाराज
klaba क्लब
bachane बचने
vastu वस्तु
niyatrita नियंत्रित
bure बुरे
majooree मंजूरी
nakalee नकली
vee वीं
yooniyana यूनियन
mithaaee मिठाई
deevaaro दीवारों
peshaaba पेशाब
jalavaayu जलवायु
belta बेल्ट
sunanaa सुनना
maranaa मरना
pacha पंच
kaimpa कैम्प
aphasosa अफसोस
bhaaloo भालू
meja मेज
badaboo बदबू
chaarlee चार्ली
mukkaa मुक्का
chhuo छुओ
spairo स्पैरो
draago ड्रागो
chakamaka चकमक
raashtreeya राष्ट्रीय
jaisee जैसी
prakriyaa प्रक्रिया
borda बोर्ड
vijnyaana विज्ञान
cheenee चीनी
mobaaila मोबाइल
maamalo मामलों
macha मंच
nikaalaa निकाला
ekamaatra एकमात्र
ummeedavaara उम्मीदवार
tvachaa त्वचा
naataka नाटक
tathya तथ्य
cheka चेक
vajana वजन
kathora कठोर
ghoda घोड़े
saahasa साहस
pare परे
bagala बगल
peshakasha पेशकश
mahimaa महिमा
laacha लांच
phita फिट
doge दोगे
jagalee जंगली
rakhege रखेंगे
dikhate दिखते
krisamasa क्रिसमस
ehasaana एहसान
maarataa मारता
maarshala मार्शल
tatrikaa तंत्रिका
vaardana वार्डन
badooke बंदूकें
ruke रुकें
gothama गोथम
ranee रॉनी
pagaa पड़ेगा
phitpaitrika फिट्ज़पैट्रिक
valshee वॉल्शी
deva डेव
draigansa ड्रैगन्स
tempalatana टेम्पलटन
chunaava चुनाव
vaalo वालों
jisake जिसके
bane बने
vishaya विषय
saphalataa सफलता
aakara आकर
nidhana निधन
sammelana सम्मेलन
rotee रोटी
aayee आयी
ajnyaata अज्ञात
ghaayala घायल
banaate बनाते
letee लेती
phasala फसल
beemaa बीमा
svatatra स्वतंत्र
adhikaasha अधिकांश
dvaara द्वार
samajhautaa समझौता
krodha क्रोध
roma रोम
kismata किस्मत
nyoo न्यू
sthira स्थिर
deree देरी
khidakee खिड़की
kachche कच्चे
nyooyarka न्यूयॉर्क
baatharooma बाथरूम
bahaava बहाव
mehadee मेंहदी
mahodayaa महोदया
chudala चुड़ैल
gurutvaakarshana गुरुत्वाकर्षण
luisa लुइस
bakara बंकर
putaaee पुताई
voo वू
jisame जिसमें
cheena चीन
aayojita आयोजित
ghatanaa घटना
maee मई
joona जून
isako इसको
daavaa दावा
kakshaa कक्षा
chhoota छूट
behada बेहद
paryaavarana पर्यावरण
nalaaina ऑनलाइन
hisaa हिंसा
hataa हटा
laakho लाखों
sarala सरल
saha सह
kheta खेत
dobaaraa दोबारा
sakriya सक्रिय
pariyojanaa परियोजना
pratiyogitaa प्रतियोगिता
aatakavaadee आतंकवादी
bahasa बहस
nau नौ
bechane बेचने
leejie लीजिए
naaka नाक
namaka नमक
maheeno महीनों
dilachaspa दिलचस्प
prashikshita प्रशिक्षित
kaksha कक्ष
hadataala हड़ताल
jadaa ज़िंदा
hata हट
maayane मायने
sabaka सबक
kise किसे
darate डरते
dikhaataa दिखाता
tvarita त्वरित
buddhimaana बुद्धिमान
nirdosha निर्दोष
paikeja पैकेज
shaapa शाप
jaago जागो
seega सींग
paauda पाउंड
milo मिलो
henaree हेनरी
badasoorata बदसूरत
hikapa हिकप
beepa बीप
teraa तेरा
kula कुल
abhiyaana अभियान
devee देवी
gaisa गैस
kshamataa क्षमता
naagarika नागरिक
kaale काले
meetara मीटर
samajhane समझने
saskaara संस्कार
jyaadaatara ज्यादातर
aasamaana आसमान
khule खुले
niyukti नियुक्ति
somavaara सोमवार
dostee दोस्ती
dhoopa धूप
hairaana हैरान
saadhaarana साधारण
svaada स्वाद
bache बचे
khulee खुली
baalo बालों
sahayogee सहयोगी
mubaaraka मुबारक
shootiga शूटिंग
sunee सुनी
asaphala असफल
saamraajya साम्राज्य
phaila फ़ाइल
eemaanadaara ईमानदार
prabadhaka प्रबंधक
taiksee टैक्सी
jaadoogara जादूगर
gaayana गायन
poshaaka पोशाक
rabarta रॉबर्ट
aabhaaree आभारी
pijjaa पिज्जा
bulaanaa बुलाना
yakeenana यकीनन
neetoo नीतू
kaarlee कार्ली
oogave ऊगवे
bevakoo बेवकूफ़
meejaa मीजा
chee चीज़
yaadaa ज़्यादा
vendee वेन्डी
bhaashaa भाषा
die दिए
dishaa दिशा
lagaataara लगातार
digree डिग्री
kaalaa काला
dikhaayaa दिखाया
utanaa उतना
maala माल
jimmedaara जिम्मेदार
roosa रूस
sarvashreshtha सर्वश्रेष्ठ
rakhatee रखती
sachchaaee सच्चाई
billee बिल्ली
pratibadha प्रतिबंध
khelate खेलते
chikitsaka चिकित्सक
udaasa उदास
baaika बाइक
nigaraanee निगरानी
kabra कब्र
sigareta सिगरेट
aakhirakaara आखिरकार
manushyo मनुष्यों
jarmana जर्मन
mare मरे
khaao खाओ
loda लोड
aaoge आओगे
samajhadaara समझदार
peya पेय
svicha स्विच
daata दाँत
khokhale खोखले
haasyaaspada हास्यास्पद
gabana गबन
doma डोम
maleshiyaaee मलेशियाई
kleetasa क्लीटस
broosa ब्रूस
braaeesa ब्राईस
tho थोड़ा
hataala हड़ताल
too तू
sarakaaree सरकारी
aaropa आरोप
ee ई
poojaa पूजा
svaya स्वयं
desho देशों
vartamaana वर्तमान
likha लिख
